Cargo	Agrupacion	Seccion	Votos
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 7	17613
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 7	53696
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 7	32719
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 7	7816
DIPUTADOS NACIONALES	FEDERAL	Comuna 7	655
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 7	289
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 7	257
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 7	3391
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 7	531
DIPUTADOS NACIONALES		Comuna 7	4145
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 6	737
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 6	89
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 6	371
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 6	389
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 6	252
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 6	14091
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 6	57754
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 6	26796
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 6	7722
DIPUTADOS NACIONALES	FEDERAL	Comuna 6	528
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 6	190
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 6	226
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 6	3821
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 6	484
DIPUTADOS NACIONALES		Comuna 6	3406
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 5	861
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 5	150
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 5	575
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 5	442
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 5	296
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 5	13552
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 5	47686
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 5	30116
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 5	8397
DIPUTADOS NACIONALES	FEDERAL	Comuna 5	525
