Cargo	Comuna	Partido Descripcion	Total Votos
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 15	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 6	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 1	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 5	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 10	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 3	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 9	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 8	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 2	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 14	UNITE POR LA LIBERTAD Y LA DIG	2310
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 11	UNITE POR LA LIBERTAD Y LA DIG	2619
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 15	UNITE POR LA LIBERTAD Y LA DIG	2147
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 6	UNITE POR LA LIBERTAD Y LA DIG	2238
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 10	UNITE POR LA LIBERTAD Y LA DIG	2385
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 9	UNITE POR LA LIBERTAD Y LA DIG	2456
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 8	UNITE POR LA LIBERTAD Y LA DIG	1997
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 13	FRENTE IZQ Y DE TRAB-UNIDAD	7008
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 14	FRENTE IZQ Y DE TRAB-UNIDAD	6556
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 12	FRENTE IZQ Y DE TRAB-UNIDAD	7847
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 4	FRENTE IZQ Y DE TRAB-UNIDAD	6288
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 11	FRENTE IZQ Y DE TRAB-UNIDAD	6599
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 7	FRENTE IZQ Y DE TRAB-UNIDAD	6302
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 15	FRENTE IZQ Y DE TRAB-UNIDAD	7864
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 6	FRENTE IZQ Y DE TRAB-UNIDAD	6764
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 1	FRENTE IZQ Y DE TRAB-UNIDAD	5357
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 5	FRENTE IZQ Y DE TRAB-UNIDAD	7254
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 10	FRENTE IZQ Y DE TRAB-UNIDAD	5904
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 3	FRENTE IZQ Y DE TRAB-UNIDAD	6386
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 9	FRENTE IZQ Y DE TRAB-UNIDAD	4994
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 8	FRENTE IZQ Y DE TRAB-UNIDAD	4001
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 2	FRENTE IZQ Y DE TRAB-UNIDAD	3439
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 13	ALIANZA JUNTOS POR EL CAMBIO	116663
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 14	ALIANZA JUNTOS POR EL CAMBIO	108754
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 12	ALIANZA JUNTOS POR EL CAMBIO	86474
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 4	ALIANZA JUNTOS POR EL CAMBIO	59390
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 11	ALIANZA JUNTOS POR EL CAMBIO	75587
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 7	ALIANZA JUNTOS POR EL CAMBIO	67228
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 15	ALIANZA JUNTOS POR EL CAMBIO	62358
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 6	ALIANZA JUNTOS POR EL CAMBIO	72086
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 1	ALIANZA JUNTOS POR EL CAMBIO	67179
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 5	ALIANZA JUNTOS POR EL CAMBIO	60120
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 10	ALIANZA JUNTOS POR EL CAMBIO	59524
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 3	ALIANZA JUNTOS POR EL CAMBIO	57450
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 9	ALIANZA JUNTOS POR EL CAMBIO	54042
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 8	ALIANZA JUNTOS POR EL CAMBIO	42243
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 2	ALIANZA JUNTOS POR EL CAMBIO	77684
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 13	ALIANZA FRENTE DE TODOS	37657
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 14	ALIANZA FRENTE DE TODOS	36977
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 12	ALIANZA FRENTE DE TODOS	46653
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 4	ALIANZA FRENTE DE TODOS	60019
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 11	ALIANZA FRENTE DE TODOS	44280
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 7	ALIANZA FRENTE DE TODOS	50207
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 15	ALIANZA FRENTE DE TODOS	48185
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 6	ALIANZA FRENTE DE TODOS	39806
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 1	ALIANZA FRENTE DE TODOS	43928
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 5	ALIANZA FRENTE DE TODOS	45363
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 10	ALIANZA FRENTE DE TODOS	42006
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 3	ALIANZA FRENTE DE TODOS	44406
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 9	ALIANZA FRENTE DE TODOS	46874
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 8	ALIANZA FRENTE DE TODOS	53191
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 2	ALIANZA FRENTE DE TODOS	20748
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 13	ALIANZA CONSENSO FEDERAL	7420
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 14	ALIANZA CONSENSO FEDERAL	6251
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 12	ALIANZA CONSENSO FEDERAL	9121
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 4	ALIANZA CONSENSO FEDERAL	7879
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 11	ALIANZA CONSENSO FEDERAL	8563
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 7	ALIANZA CONSENSO FEDERAL	8143
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 15	ALIANZA CONSENSO FEDERAL	7325
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 6	ALIANZA CONSENSO FEDERAL	7188
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 1	ALIANZA CONSENSO FEDERAL	5566
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 5	ALIANZA CONSENSO FEDERAL	7321
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 10	ALIANZA CONSENSO FEDERAL	8264
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 3	ALIANZA CONSENSO FEDERAL	6619
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 9	ALIANZA CONSENSO FEDERAL	8025
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 8	ALIANZA CONSENSO FEDERAL	6204
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 2	ALIANZA CONSENSO FEDERAL	3970
