Cargo	Seccion	Agrupacion	Votos
DIPUTADOS PROVINCIALES	Comuna 14	JUNTOS POR EL CAMBIO	87877
DIPUTADOS PROVINCIALES	Comuna 13	JUNTOS POR EL CAMBIO	94217
DIPUTADOS PROVINCIALES	Comuna 12	JUNTOS POR EL CAMBIO	71726
DIPUTADOS PROVINCIALES	Comuna 11	JUNTOS POR EL CAMBIO	62351
DIPUTADOS PROVINCIALES	Comuna 10	JUNTOS POR EL CAMBIO	49956
DIPUTADOS PROVINCIALES	Comuna 09	JUNTOS POR EL CAMBIO	45568
DIPUTADOS PROVINCIALES	Comuna 08	JUNTOS POR EL CAMBIO	36551
DIPUTADOS PROVINCIALES	Comuna 07	JUNTOS POR EL CAMBIO	57005
DIPUTADOS PROVINCIALES	Comuna 06	JUNTOS POR EL CAMBIO	60236
DIPUTADOS PROVINCIALES	Comuna 05	JUNTOS POR EL CAMBIO	51129
DIPUTADOS PROVINCIALES	Comuna 04	JUNTOS POR EL CAMBIO	50605
DIPUTADOS PROVINCIALES	Comuna 03	JUNTOS POR EL CAMBIO	48705
DIPUTADOS PROVINCIALES	Comuna 02	JUNTOS POR EL CAMBIO	62047
DIPUTADOS PROVINCIALES	Comuna 01	JUNTOS POR EL CAMBIO	55770
DIPUTADOS PROVINCIALES	Comuna 15	FRENTE DE TODOS	34573
DIPUTADOS PROVINCIALES	Comuna 14	FRENTE DE TODOS	25806
DIPUTADOS PROVINCIALES	Comuna 13	FRENTE DE TODOS	26535
DIPUTADOS PROVINCIALES	Comuna 12	FRENTE DE TODOS	33659
DIPUTADOS PROVINCIALES	Comuna 11	FRENTE DE TODOS	31233
DIPUTADOS PROVINCIALES	Comuna 10	FRENTE DE TODOS	29575
DIPUTADOS PROVINCIALES	Comuna 09	FRENTE DE TODOS	33882
DIPUTADOS PROVINCIALES	Comuna 08	FRENTE DE TODOS	42542
DIPUTADOS PROVINCIALES	Comuna 07	FRENTE DE TODOS	38316
DIPUTADOS PROVINCIALES	Comuna 06	FRENTE DE TODOS	28808
DIPUTADOS PROVINCIALES	Comuna 05	FRENTE DE TODOS	32757
DIPUTADOS PROVINCIALES	Comuna 04	FRENTE DE TODOS	44853
DIPUTADOS PROVINCIALES	Comuna 03	FRENTE DE TODOS	31344
DIPUTADOS PROVINCIALES	Comuna 02	FRENTE DE TODOS	14243
DIPUTADOS PROVINCIALES	Comuna 01	FRENTE DE TODOS	33093
DIPUTADOS PROVINCIALES	Comuna 15	FRENTE DE IZQUIERDA Y DE TRABAJADORES	12127
DIPUTADOS PROVINCIALES	Comuna 14	FRENTE DE IZQUIERDA Y DE TRABAJADORES	9720
DIPUTADOS PROVINCIALES	Comuna 13	FRENTE DE IZQUIERDA Y DE TRABAJADORES	10924
DIPUTADOS PROVINCIALES	Comuna 12	FRENTE DE IZQUIERDA Y DE TRABAJADORES	11568
DIPUTADOS PROVINCIALES	Comuna 11	FRENTE DE IZQUIERDA Y DE TRABAJADORES	10198
DIPUTADOS PROVINCIALES	Comuna 10	FRENTE DE IZQUIERDA Y DE TRABAJADORES	9216
DIPUTADOS PROVINCIALES	Comuna 09	FRENTE DE IZQUIERDA Y DE TRABAJADORES	8650
DIPUTADOS PROVINCIALES	Comuna 08	FRENTE DE IZQUIERDA Y DE TRABAJADORES	9140
DIPUTADOS PROVINCIALES	Comuna 07	FRENTE DE IZQUIERDA Y DE TRABAJADORES	11431
DIPUTADOS PROVINCIALES	Comuna 06	FRENTE DE IZQUIERDA Y DE TRABAJADORES	10477
DIPUTADOS PROVINCIALES	Comuna 05	FRENTE DE IZQUIERDA Y DE TRABAJADORES	11201
DIPUTADOS PROVINCIALES	Comuna 04	FRENTE DE IZQUIERDA Y DE TRABAJADORES	10994
DIPUTADOS PROVINCIALES	Comuna 03	FRENTE DE IZQUIERDA Y DE TRABAJADORES	9858
DIPUTADOS PROVINCIALES	Comuna 02	FRENTE DE IZQUIERDA Y DE TRABAJADORES	5238
DIPUTADOS PROVINCIALES	Comuna 01	FRENTE DE IZQUIERDA Y DE TRABAJADORES	9199
DIPUTADOS PROVINCIALES	Comuna 15	AUTODETERMINACIÓN Y LIBERTAD	5093
DIPUTADOS PROVINCIALES	Comuna 14	AUTODETERMINACIÓN Y LIBERTAD	3462
DIPUTADOS PROVINCIALES	Comuna 13	AUTODETERMINACIÓN Y LIBERTAD	4019
DIPUTADOS PROVINCIALES	Comuna 12	AUTODETERMINACIÓN Y LIBERTAD	4843
DIPUTADOS PROVINCIALES	Comuna 11	AUTODETERMINACIÓN Y LIBERTAD	4801
DIPUTADOS PROVINCIALES	Comuna 10	AUTODETERMINACIÓN Y LIBERTAD	4177
DIPUTADOS PROVINCIALES	Comuna 09	AUTODETERMINACIÓN Y LIBERTAD	3539
DIPUTADOS PROVINCIALES	Comuna 08	AUTODETERMINACIÓN Y LIBERTAD	2833
DIPUTADOS PROVINCIALES	Comuna 07	AUTODETERMINACIÓN Y LIBERTAD	4247
DIPUTADOS PROVINCIALES	Comuna 06	AUTODETERMINACIÓN Y LIBERTAD	4390
DIPUTADOS PROVINCIALES	Comuna 05	AUTODETERMINACIÓN Y LIBERTAD	4068
DIPUTADOS PROVINCIALES	Comuna 04	AUTODETERMINACIÓN Y LIBERTAD	3871
DIPUTADOS PROVINCIALES	Comuna 03	AUTODETERMINACIÓN Y LIBERTAD	3437
DIPUTADOS PROVINCIALES	Comuna 02	AUTODETERMINACIÓN Y LIBERTAD	1854
DIPUTADOS PROVINCIALES	Comuna 01	AUTODETERMINACIÓN Y LIBERTAD	3181
DIPUTADOS PROVINCIALES	Comuna 15	VOTOS EN BLANCO	3273
DIPUTADOS PROVINCIALES	Comuna 14	VOTOS EN BLANCO	3100
DIPUTADOS PROVINCIALES	Comuna 13	VOTOS EN BLANCO	3354
DIPUTADOS PROVINCIALES	Comuna 12	VOTOS EN BLANCO	3518
DIPUTADOS PROVINCIALES	Comuna 11	VOTOS EN BLANCO	3450
DIPUTADOS PROVINCIALES	Comuna 10	VOTOS EN BLANCO	3025
DIPUTADOS PROVINCIALES	Comuna 09	VOTOS EN BLANCO	3166
DIPUTADOS PROVINCIALES	Comuna 08	VOTOS EN BLANCO	3294
DIPUTADOS PROVINCIALES	Comuna 07	VOTOS EN BLANCO	3631
DIPUTADOS PROVINCIALES	Comuna 06	VOTOS EN BLANCO	2865
DIPUTADOS PROVINCIALES	Comuna 05	VOTOS EN BLANCO	2846
DIPUTADOS PROVINCIALES	Comuna 04	VOTOS EN BLANCO	3699
DIPUTADOS PROVINCIALES	Comuna 03	VOTOS EN BLANCO	3048
DIPUTADOS PROVINCIALES	Comuna 02	VOTOS EN BLANCO	1896
DIPUTADOS PROVINCIALES	Comuna 01	VOTOS EN BLANCO	3002
